V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
Yeni tikili,3 / 16,64 m²,1,yoxdur,75 000AZN,mülkiyyətçi,1640,23 İyul 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,6 / 18,115 m²,3,yoxdur,215 000AZN,mülkiyyətçi,4818,Dünən 17,"Yasamal bazarı 
"," İnşaatçılar m.
"," Yasamal r.
",,,,,,,
Yeni tikili,15 / 19,105 m²,3,var,240 000AZN,vasitəçi (agent),94,11 Avqust 2019,"Cavanşir körpüsü 
"," Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,
Yeni tikili,12 / 17,86 m²,2,yoxdur,88 000AZN,mülkiyyətçi,182,11 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,10 / 16,177 m²,4,var,280 000AZN,vasitəçi (agent),200,10 Avqust 2019,"Neftçi bazası 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,9 / 16,68 m²,3,var,75 000AZN,mülkiyyətçi,159,Dünən 11,"Abşeron r.
",,,,,,,,,
Yeni tikili,9 / 14,154 m²,4,var,320 000AZN,mülkiyyətçi,138,10 Avqust 2019,"Bakı Slavyan Universiteti 
"," Azərbaycan Dillər Universiteti 
"," 28 May m.
"," Nəsimi r.
",,,,,,
Köhnə tikili,4 / 5,72 m²,3,var,132 000AZN,vasitəçi (agent),101,10 Avqust 2019,"Memarlıq və İnşaat Universiteti 
"," Bakı Dövlət Universiteti 
"," Texniki Universiteti 
"," Yasamal r.
",,,,,,
Köhnə tikili,3 / 5,78 m²,3,var,130 000AZN,vasitəçi (agent),182,Dünən 11,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Texniki Universiteti 
"," Yasamal r.
",,,,,,
Köhnə tikili,2 / 2,64 m²,3,var,126 000AZN,mülkiyyətçi,1295,05 Avqust 2019,"Səbail r.
"," Bayıl q.
",,,,,,,,
Yeni tikili,3 / 17,140 m²,4,var,295 000AZN,mülkiyyətçi,6506,19 İyul 2019,"Binəqədi r.
",,,,,,,,,
Yeni tikili,4 / 10,133 m²,3,var,195 000AZN,vasitəçi (agent),2696,11 Avqust 2019,"20 Yanvar m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Yeni tikili,22 / 22,220 m²,3,yoxdur,230 000AZN,vasitəçi (agent),326,11 Avqust 2019,"Nizami m.
"," Beşmərtəbə 
"," Nəsimi r.
",,,,,,,
Köhnə tikili,9 / 9,62 m²,2,var,72 000AZN,vasitəçi (agent),228,10 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Köhnə tikili,2 / 2,40 m²,2,var,43 000AZN,mülkiyyətçi,168,10 Avqust 2019,"Sabunçu r.
"," Sabunçu q.
",,,,,,,,
Yeni tikili,11 / 17,174 m²,3,var,280 000AZN,vasitəçi (agent),223,10 Avqust 2019,"Elmlər Akademiyası m.
"," İncəsənət və Mədəniyyət Un. 
"," Yasamal r.
",,,,,,,
Yeni tikili,9 / 16,105 m²,3,yoxdur,145 000AZN,vasitəçi (agent),267,10 Avqust 2019,"Nərimanov r.
",,,,,,,,,
Yeni tikili,12 / 20,88 m²,2,var,180 000AZN,vasitəçi (agent),304,Dünən 11,"Şah İsmayıl Xətai m.
"," Cavanşir körpüsü 
"," Xətai r.
",,,,,,,
Yeni tikili,6 / 16,115 m²,3,yoxdur,220 000AZN,mülkiyyətçi,15946,Dünən 17,"Yasamal bazarı 
"," Yasamal r.
",,,,,,,,
Yeni tikili,12 / 15,155 m²,4,var,340 000AZN,mülkiyyətçi,5341,25 İyul 2019,"Nizami m.
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,
Yeni tikili,3 / 13,125 m²,3,yoxdur,210 000AZN,vasitəçi (agent),128,11 Avqust 2019,"28 May m.
"," Bakı Slavyan Universiteti 
"," Neft Akademiyası 
"," Nərimanov r.
",,,,,,
Köhnə tikili,8 / 9,91 m²,3,var,115 000AZN,mülkiyyətçi,359,Bugün 11,"Neftçi bazası 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,16 / 17,97 m²,2,yoxdur,110 000AZN,vasitəçi (agent),1986,10 Avqust 2019,"Koala parkı 
"," Zoopark 
"," Dostluq kinoteatrı 
"," Nəsimi bazarı 
"," Nəsimi r.
",,,,,
Yeni tikili,5 / 22,160 m²,4,var,450 000AZN,vasitəçi (agent),119,10 Avqust 2019,"28 May m.
"," Neft Akademiyası 
"," Səməd Vurğun parkı 
"," Bakı Musiqi Akademiyası 
"," Nəsimi r.
",,,,,
Yeni tikili,9 / 18,176 m²,4,var,287 000AZN,vasitəçi (agent),3091,10 Avqust 2019,"Dövlət Statistika Komitəsi 
"," M.Hüseynzadə parkı 
"," Nizami m.
"," Yasamal r.
",,,,,,
Yeni tikili,5 / 16,70 m²,2,var,91 000AZN,mülkiyyətçi,4079,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,17 / 21,96 m²,2,yoxdur,150 000AZN,vasitəçi (agent),302,Dünən 11,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,6 / 17,110 m²,3,yoxdur,250 000AZN,mülkiyyətçi,3120,Dünən 23,"Elmlər Akademiyası m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Köhnə tikili,4 / 5,60 m²,2,var,107 000AZN,vasitəçi (agent),197,11 Avqust 2019,"Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Rəssamlıq Akademiyası 
"," Nərimanov r.
",,,,,,
Köhnə tikili,1 / 5,65 m²,3,var,118 500AZN,vasitəçi (agent),307,11 Avqust 2019,"Səbail r.
",,,,,,,,,
Köhnə tikili,3 / 9,100 m²,4,var,145 000AZN,vasitəçi (agent),155,11 Avqust 2019,"Yasamal bazarı 
"," İnşaatçılar m.
"," Yasamal r.
",,,,,,,
Yeni tikili,14 / 18,71 m²,2,var,115 000AZN,mülkiyyətçi,765,10 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Yeni tikili,5 / 6,56 m²,2,yoxdur,46 500AZN,vasitəçi (agent),153,10 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Yeni tikili,12 / 18,165 m²,4,yoxdur,310 000AZN,vasitəçi (agent),1016,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,2 / 15,66 m²,1,var,77 800AZN,vasitəçi (agent),355,10 Avqust 2019,"Səbail r.
"," Badamdar q.
",,,,,,,,
Yeni tikili,17 / 18,94 m²,2,var,190 000AZN,vasitəçi (agent),549,Dünən 11,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,5 / 15,90 m²,2,var,125 000AZN,vasitəçi (agent),387,11 Avqust 2019,"İdman kompleksi 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,3 / 5,140 m²,4,var,275 000AZN,vasitəçi (agent),1642,Dünən 17,"Səbail r.
",,,,,,,,,
Yeni tikili,15 / 20,87 m²,2,var,180 000AZN,vasitəçi (agent),101,11 Avqust 2019,"Şah İsmayıl Xətai m.
"," Cavanşir körpüsü 
"," Xətai r.
",,,,,,,
Köhnə tikili,1 / 5,55 m²,2,var,73 000AZN,vasitəçi (agent),2615,11 Avqust 2019,"20 Yanvar m.
"," Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,
Köhnə tikili,7 / 9,60 m²,2,var,80 000AZN,vasitəçi (agent),1304,10 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
",,,,,,,,
Yeni tikili,7 / 20,98 m²,3,yoxdur,188 000AZN,vasitəçi (agent),147,10 Avqust 2019,"Yasamal bazarı 
"," İnşaatçılar m.
"," Yasamal r.
",,,,,,,
Yeni tikili,6 / 20,214 m²,4,var,320 000AZN,vasitəçi (agent),1202,10 Avqust 2019,"Dövlət Statistika Komitəsi 
"," İzmir parkı 
"," M.Hüseynzadə parkı 
"," Nizami m.
"," Yasamal r.
",,,,,
Yeni tikili,15 / 15,82 m²,3,var,117 000AZN,vasitəçi (agent),438,10 Avqust 2019,"Səbail r.
"," Badamdar q.
",,,,,,,,
Köhnə tikili,1 / 9,70 m²,2,var,79 000AZN,vasitəçi (agent),155,Dünən 11,"Neapol dairəsi 
"," Əhmədli m.
"," Xətai r.
"," Əhmədli q.
",,,,,,
Köhnə tikili,6 / 9,90 m²,3,var,95 000AZN,vasitəçi (agent),405,11 Avqust 2019,"Həzi Aslanov m.
"," Xətai r.
"," Əhmədli q.
",,,,,,,
Yeni tikili,12 / 14,106 m²,2,var,255 000AZN,vasitəçi (agent),147,11 Avqust 2019,"Axundov bağı 
"," İqsadiyyat Universiteti 
"," Dövlət İdarəçilik Akademiyası 
"," Sovetski 
"," İçəri Şəhər m.
"," Nərimanov heykəli 
"," Prezident parkı 
"," Qubernator parkı 
"," M.Ə.Sabir parkı 
"," Səbail r.
"
Yeni tikili,4 / 16,70 m²,1,yoxdur,84 000AZN,vasitəçi (agent),253,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,12 / 18,130 m²,3,yoxdur,120 000AZN,vasitəçi (agent),1856,11 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Yeni tikili,3 / 12,73 m²,2,var,66 000AZN,vasitəçi (agent),627,10 Avqust 2019,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,,
Yeni tikili,10 / 20,72 m²,3,var,85 000AZN,vasitəçi (agent),1485,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Köhnə tikili,8 / 9,42 m²,2,var,49 000AZN,vasitəçi (agent),377,10 Avqust 2019,"Xətai r.
",,,,,,,,,
Yeni tikili,4 / 17,98 m²,3,var,215 000AZN,vasitəçi (agent),172,10 Avqust 2019,"Zabitlər parkı 
"," Rusiya səfirliyi 
"," Sevil Qazıyeva parkı 
"," Sirk 
"," Nəsimi r.
",,,,,
Yeni tikili,11 / 15,95 m²,2,var,70 800AZN,mülkiyyətçi,147,Dünən 11,"Xırdalan
",,,,,,,,,
Yeni tikili,9 / 16,74 m²,2,var,100 000AZN,vasitəçi (agent),370,11 Avqust 2019,"Zərifə Əliyeva adına park 
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,
Köhnə tikili,4 / 5,33 m²,2,var,75 000AZN,vasitəçi (agent),195,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,6 / 15,165 m²,4,var,350 000AZN,vasitəçi (agent),127,11 Avqust 2019,"Zabitlər parkı 
"," Sirk 
"," Rusiya səfirliyi 
"," Nəsimi r.
",,,,,,
Yeni tikili,17 / 17,110 m²,3,yoxdur,105 000AZN,vasitəçi (agent),5543,11 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
